,year,month,toxicity,Full Date,Shifted Scores,label
63,2013,10,0.04790963605046272,2013_10,1.0274825001182424,control
60,2013,11,0.04662817716598511,2013_11,0.9751604984401444,control
71,2013,12,0.047815900295972824,2013_12,1.0082385741254478,control
73,2014,1,0.04742518439888954,2014_1,0.877085114577183,control
76,2014,2,0.05407135933637619,2014_2,1.0564493019815626,control
77,2014,3,0.05118216201663017,2014_3,0.9724678854165848,control
78,2014,4,0.052631210535764694,2014_4,0.9870258698743142,control
79,2014,5,0.05332303047180176,2014_5,1.0277934052100275,control
80,2014,6,0.051881078630685806,2014_6,0.936800769689371,control
81,2014,7,0.05538112297654152,2014_7,0.9686509419879598,control
82,2014,8,0.057173456996679306,2014_8,1.061161904221932,control
74,2014,9,0.053878165781497955,2014_9,1.0576820552663868,control
75,2014,10,0.05093985050916672,2014_10,0.8939428033485113,control
72,2014,11,0.0569833442568779,2014_11,1.0811991224788353,control
83,2014,12,0.05270383879542351,2014_12,0.9102699820919576,control
85,2015,1,0.05789912864565849,2015_1,1.0593516354634562,control
88,2015,2,0.054655250161886215,2015_2,0.9950240681852339,control
89,2015,3,0.05492857098579407,2015_3,0.9638593974156279,control
90,2015,4,0.05698815733194351,2015_4,0.9394537431948193,control
91,2015,5,0.0606609508395195,2015_5,1.0748349072249397,control
92,2015,6,0.05643745884299278,2015_6,0.9432624740514042,control
93,2015,7,0.05983218923211098,2015_7,1.0304761082294083,control
94,2015,8,0.05806266516447067,2015_8,0.9880853453970516,control
86,2015,9,0.0587628036737442,2015_9,0.9727618996522198,control
87,2015,10,0.06040820851922035,2015_10,0.9137010660114826,control
84,2015,11,0.06611375510692596,2015_11,1.036189888550744,control
95,2015,12,0.06380467116832733,2015_12,1.0543726510071658,control
97,2016,1,0.06051434576511383,2016_1,0.9313521907898155,control
100,2016,2,0.06497471779584885,2016_2,0.9583863541177738,control
101,2016,3,0.06779595464468002,2016_3,1.0950339566439953,control
102,2016,4,0.06191219389438629,2016_4,0.9017362329654427,control
103,2016,5,0.06865887343883514,2016_5,0.9225600194138056,control
104,2016,6,0.07442212104797363,2016_6,0.9708228354419504,control
105,2016,7,0.07665880769491196,2016_7,0.9310466146284133,control
106,2016,8,0.08233616501092911,2016_8,1.0163354409937249,control
98,2016,9,0.0810127854347229,2016_9,0.9837478321470929,control
99,2016,10,0.08235117048025131,2016_10,0.980365264321971,control
96,2016,11,0.08400049805641174,2016_11,1.122884101582645,control
107,2016,12,0.07480780780315399,2016_12,0.9667457160711002,control
109,2017,1,0.07738105952739716,2017_1,0.9141374080309594,control
112,2017,2,0.08464926481246948,2017_2,1.0188331239727761,control
113,2017,3,0.08308452367782593,2017_3,1.0246241508069935,control
114,2017,4,0.08108780533075333,2017_4,0.9942243491042233,control
115,2017,5,0.08155886083841324,2017_5,0.9936899053190776,control
116,2017,6,0.0820767730474472,2017_6,1.1044480465706257,control
117,2017,7,0.07431474328041077,2017_7,0.8430771165729318,control
118,2017,8,0.08814702928066254,2017_8,1.027626470804107,control
110,2017,9,0.08577730506658554,2017_9,1.077651657330879,control
111,2017,10,0.07959650456905365,2017_10,0.9521584000494828,control
108,2017,11,0.08359586447477341,2017_11,1.1135355936886417,control
119,2017,12,0.07507246732711792,2017_12,1.048315027110799,control
121,2018,1,0.07161250710487366,2018_1,0.9919158951756775,control
124,2018,2,0.07219614833593369,2018_2,0.8595818867257711,control
125,2018,3,0.08398984372615814,2018_3,1.2044457835573321,control
126,2018,4,0.06973318755626678,2018_4,0.9734136836809841,control
127,2018,5,0.07163777202367783,2018_5,0.9102660242048807,control
128,2018,6,0.07869981974363327,2018_6,0.9482826539928665,control
129,2018,7,0.08299194276332855,2018_7,1.0100132764410361,control
130,2018,8,0.08216916024684906,2018_8,0.9585168666706009,control
122,2018,9,0.0857253149151802,2018_9,0.8906758793598356,control
123,2018,10,0.09624748677015305,2018_10,1.0226173840029062,control
120,2018,11,0.09411876648664474,2018_11,1.0687334554486094,control
131,2018,12,0.08806570619344711,2018_12,0.9868555120737228,control
133,2019,1,0.08923870325088501,2019_1,1.0129347880230393,control
136,2019,2,0.0880991593003273,2019_2,0.9333579345696573,control
137,2019,3,0.09438946843147278,2019_3,1.0492024688442005,control
138,2019,4,0.08996306359767914,2019_4,1.0054385238137864,control
139,2019,5,0.08947644382715225,2019_5,0.9825319561731756,control
140,2019,6,0.09106720983982086,2019_6,0.9956579178239932,control
141,2019,7,0.09146435558795929,2019_7,1.0173726274314092,control
142,2019,8,0.08990251272916794,2019_8,0.940338786615336,control
134,2019,9,0.09560651332139969,2019_9,1.0949297136282052,control
135,2019,10,0.08731748908758163,2019_10,1.0310584727367935,control
132,2019,11,0.0846872329711914,2019_11,1.0473185201374626,control
143,2019,12,0.08086100965738297,2019_12,1.0220681599077548,control
145,2020,1,0.07911508530378342,2020_1,0.8670117791454323,control
148,2020,2,0.09125030040740967,2020_2,1.1260691070974929,control
149,2020,3,0.08103436976671219,2020_3,0.9058624265013497,control
150,2020,4,0.0894554927945137,2020_4,0.8470749366131968,control
151,2020,5,0.10560517013072968,2020_5,0.9643354528083328,control
152,2020,6,0.10951082408428192,2020_6,1.1647804938275714,control
153,2020,7,0.09401842206716537,2020_7,0.9995786683066838,control
154,2020,8,0.09405805170536041,2020_8,1.0211556246090565,control
146,2020,9,0.09210941940546036,2020_9,1.0106690442144923,control
147,2020,10,0.09113707393407822,2020_10,0.985200659892643,control
144,2020,11,0.09250610321760178,2020_11,0.984055490260743,control
155,2020,12,0.09400496631860733,2020_12,1.0078416233164342,control
157,2021,1,0.09327355027198792,2021_1,1.045571217685981,control
160,2021,2,0.089208222925663,2021_2,0.9402125688080599,control
161,2021,3,0.09488090872764587,2021_3,0.931103175973799,control
162,2021,4,0.10190160572528839,2021_4,1.0714748096128912,control
163,2021,5,0.09510406106710434,2021_5,1.0224389227228106,control
164,2021,6,0.0930168628692627,2021_6,0.9817980811054322,control
165,2021,7,0.0947413370013237,2021_7,0.9773838358310644,control
166,2021,8,0.09693360328674316,2021_8,0.9511736937490464,control
158,2021,9,0.10190946608781815,2021_9,0.956533235335357,control
159,2021,10,0.10654043406248093,2021_10,0.9547829973541784,control
156,2021,11,0.11158601939678192,2021_11,1.0984582163223429,control
167,2021,12,0.10158421844244003,2021_12,0.9889420772261582,control
169,2022,1,0.10272008925676346,2022_1,0.931022893257763,control
172,2022,2,0.11033035814762115,2022_2,1.1042049939392204,control
173,2022,3,0.09991836547851562,2022_3,1.0835856698091164,control
174,2022,4,0.09221085906028748,2022_4,0.9692489430645739,control
175,2022,5,0.09513640403747559,2022_5,1.0070202819800511,control
176,2022,6,0.09447317570447922,2022_6,1.040203279747719,control
177,2022,7,0.09082183986902237,2022_7,0.991108892367871,control
178,2022,8,0.09163659065961838,2022_8,1.007144773875342,control
170,2022,9,0.09098651260137558,2022_9,1.0286319619423114,control
171,2022,10,0.08845390379428864,2022_10,1.0206751489068955,control
168,2022,11,0.08666215091943741,2022_11,1.0004871867057896,control
179,2022,12,0.08661995083093643,2022_12,,control
