Unnamed: 0,year,month,toxicity,Full Date,Shifted Scores,label
133,2019,1,0.089238703250885,2019_1,1.0129347880230393,control
39,2011,10,0.0401872061192989,2011_10,1.095814466492328,control
46,2011,8,0.0460124425590038,2011_8,1.0064268089512014,control
140,2019,6,0.0910672098398208,2019_6,0.9956579178239932,control
102,2016,4,0.0619121938943862,2016_4,0.9017362329654428,control
59,2012,12,0.0483527444303035,2012_12,1.2094594449785303,control
116,2017,6,0.0820767730474472,2017_6,1.1044480465706257,control
170,2022,9,0.0909865126013755,2022_9,1.0286319619423114,control
178,2022,8,0.0916365906596183,2022_8,1.007144773875342,control
144,2020,11,0.0925061032176017,2020_11,0.984055490260743,control
70,2013,8,0.0450823940336704,2013_8,0.9044869881804768,control
175,2022,5,0.0951364040374755,2022_5,1.0070202819800511,control
75,2014,10,0.0509398505091667,2014_10,0.8939428033485113,control
87,2015,10,0.0604082085192203,2015_10,0.9137010660114826,control
56,2012,6,0.0409803315997123,2012_6,1.0119870045570156,control
134,2019,9,0.0956065133213996,2019_9,1.0949297136282052,control
141,2019,7,0.0914643555879592,2019_7,1.0173726274314092,control
148,2020,2,0.0912503004074096,2020_2,1.1260691070974929,control
72,2014,11,0.0569833442568779,2014_11,1.081199122478835,control
168,2022,11,0.0866621509194374,2022_11,1.0004871867057896,control
169,2022,1,0.1027200892567634,2022_1,0.931022893257763,control
176,2022,6,0.0944731757044792,2022_6,1.040203279747719,control
76,2014,2,0.0540713593363761,2014_2,1.0564493019815626,control
28,2010,2,0.1033633947372436,2010_2,1.3624218764500629,control
172,2022,2,0.1103303581476211,2022_2,1.1042049939392204,control
145,2020,1,0.0791150853037834,2020_1,0.8670117791454323,control
63,2013,10,0.0479096360504627,2013_10,1.0274825001182424,control
58,2012,8,0.0405982807278633,2012_8,0.9467514438413476,control
103,2016,5,0.0686588734388351,2016_5,0.9225600194138056,control
100,2016,2,0.0649747177958488,2016_2,0.9583863541177738,control
57,2012,7,0.0404949188232421,2012_7,0.997454032467188,control
69,2013,7,0.0446474812924861,2013_7,0.9903529359851784,control
30,2010,4,0.049359031021595,2010_4,10.287876727612003,target
66,2013,4,0.0409801676869392,2013_4,0.8731971629444727,control
93,2015,7,0.0598321892321109,2015_7,1.0304761082294085,control
132,2019,11,0.0846872329711914,2019_11,1.0473185201374626,control
120,2018,11,0.0941187664866447,2018_11,1.0687334554486094,control
114,2017,4,0.0810878053307533,2017_4,0.9942243491042232,control
106,2016,8,0.0823361650109291,2016_8,1.0163354409937249,control
158,2021,9,0.1019094660878181,2021_9,0.956533235335357,control
159,2021,10,0.1065404340624809,2021_10,0.9547829973541784,control
112,2017,2,0.0846492648124694,2017_2,1.018833123972776,control
31,2010,5,0.0047977860085666,2010_5,0.5394741210033983,below target
136,2019,2,0.0880991593003273,2019_2,0.9333579345696572,control
27,2010,10,0.1009673848748207,2010_10,1.902331868969501,control
82,2014,8,0.0571734569966793,2014_8,1.061161904221932,control
160,2021,2,0.089208222925663,2021_2,0.94021256880806,control
15,2009,10,0.0031428337097167,2009_10,0.0509062160640763,below target
40,2011,2,0.0343713462352752,2011_2,1.5957416394677673,control
48,2012,11,0.043434053659439,2012_11,0.8982748377818685,control
86,2015,9,0.0587628036737442,2015_9,0.9727618996522198,control
163,2021,5,0.0951040610671043,2021_5,1.0224389227228106,control
147,2020,10,0.0911370739340782,2020_10,0.985200659892643,control
83,2014,12,0.0527038387954235,2014_12,0.9102699820919576,control
77,2014,3,0.0511821620166301,2014_3,0.9724678854165848,control
130,2018,8,0.082169160246849,2018_8,0.9585168666706008,control
60,2013,11,0.0466281771659851,2013_11,0.9751604984401444,control
171,2022,10,0.0884539037942886,2022_10,1.0206751489068957,control
81,2014,7,0.0553811229765415,2014_7,0.9686509419879598,control
62,2013,9,0.0498430542647838,2013_9,1.0403555187162077,control
109,2017,1,0.0773810595273971,2017_1,0.9141374080309594,control
44,2011,6,0.0420877933502197,2011_6,1.4703981956221974,control
80,2014,6,0.0518810786306858,2014_6,0.936800769689371,control
177,2022,7,0.0908218398690223,2022_7,0.991108892367871,control
152,2020,6,0.1095108240842819,2020_6,1.1647804938275714,control
51,2012,10,0.0431740991771221,2012_10,0.9940149615240788,control
173,2022,3,0.0999183654785156,2022_3,1.0835856698091164,control
13,2009,1,0.1153565645217895,2009_1,0.6934589137054165,below target
73,2014,1,0.0474251843988895,2014_1,0.877085114577183,control
153,2020,7,0.0940184220671653,2020_7,0.9995786683066838,control
126,2018,4,0.0697331875562667,2018_4,0.973413683680984,control
119,2017,12,0.0750724673271179,2017_12,1.048315027110799,control
139,2019,5,0.0894764438271522,2019_5,0.9825319561731756,control
107,2016,12,0.0748078078031539,2016_12,0.9667457160711002,control
84,2015,11,0.0661137551069259,2015_11,1.036189888550744,control
135,2019,10,0.0873174890875816,2019_10,1.0310584727367935,control
179,2022,12,0.0866199508309364,2022_12,,control
43,2011,5,0.039645317941904,2011_5,0.9419671307547202,control
94,2015,8,0.0580626651644706,2015_8,0.9880853453970516,control
129,2018,7,0.0829919427633285,2018_7,1.010013276441036,control
24,2010,11,0.0530755892395973,2010_11,1.500133404903783,control
115,2017,5,0.0815588608384132,2017_5,0.9936899053190776,control
125,2018,3,0.0839898437261581,2018_3,1.204445783557332,control
